X,Y
55.588291402,37.156244820
55.583496141,37.148080968
55.593507034,37.124372449
55.576490613,37.119846992
55.596251824,37.111647686
55.603717413,37.240465672
55.608509295,37.227974410
55.619208472,37.264754835
55.619948056,37.285614167
55.624688060,37.260697313
55.625658292,37.298130044
55.625510744,37.308433649
55.614792247,37.323111687
